Duración_segundos,¿Estás informado sobre los videos generados con Inteligencia Artificial como deepfake? ,¿Alguna vez has visto un video hecho por Inteligencia Artificial? ,¿Sabes generar videos o imágenes con Inteligencia Artificial? ,¿El siguiente video es Real o es una IA?,¿El siguiente video es Real o es una IA?2,¿El siguiente video es Real o es una IA?3,¿El siguiente video es Real o es una IA?4,¿El siguiente video es Real o es una IA?5,¿El siguiente video es Real o es una IA?6,¿El siguiente video es Real o es una IA?7,¿El siguiente video es Real o es una IA?8,¿El siguiente video es Real o es una IA?9,¿El siguiente video es Real o es una IA?10,Seleccione su rango de edad_18-25,Seleccione su rango de edad_25-30,Seleccione su rango de edad_31-40,Seleccione su rango de edad_41-50,¿Con qué frecuencia usas redes sociales al día?_2-4 horas,¿Con qué frecuencia usas redes sociales al día?_4-6 horas,¿Con qué frecuencia usas redes sociales al día?_6-8 horas,¿Con qué frecuencia usas redes sociales al día?_8-10 horas,¿Con qué frecuencia usas redes sociales al día?_más de 10 horas,rrss_Facebook,rrss_Instagram,rrss_Otras,rrss_Tiktok,rrss_Whatsapp,rrss_X,¿El siguiente video es Real o es una IA?_acierto,¿El siguiente video es Real o es una IA?2_acierto,¿El siguiente video es Real o es una IA?3_acierto,¿El siguiente video es Real o es una IA?4_acierto,¿El siguiente video es Real o es una IA?5_acierto,¿El siguiente video es Real o es una IA?6_acierto,¿El siguiente video es Real o es una IA?7_acierto,¿El siguiente video es Real o es una IA?8_acierto,¿El siguiente video es Real o es una IA?9_acierto,¿El siguiente video es Real o es una IA?10_acierto
360.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,1,0,1,0,1,1
219.0,0.0,0.0,1.0,1,1,1,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,0,0,0,1,0,0,1
217.0,1.0,0.0,1.0,0,1,1,1,1,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,1,1,1,1,1,0,0,0,0
232.0,0.0,0.0,1.0,0,1,0,1,1,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0,1,1,1,1,0,0,1
217.0,0.0,0.0,0.0,1,1,1,0,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,1,0,1,1,1,1
168.0,0.0,0.0,0.0,1,1,1,1,0,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1,1,0,0,1,1,1,0
144.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1
245.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,0,1,1,1,1
127.0,0.0,0.0,1.0,1,1,1,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,0,1,0,0,0,0
194.0,0.0,1.0,0.0,0,0,1,1,1,1,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1,1,1,1,1,1,1,0
318.0,0.0,0.0,0.0,0,1,1,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1,1,1,0,0
77.0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,1,1,0,1
168.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1
329.0,1.0,0.0,1.0,0,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1,1,1,1,1,1,1,1
77.0,1.0,0.0,1.0,0,0,1,1,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,0,1,0,0,0,1
167.0,0.0,0.0,0.0,1,1,1,0,1,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1,0,1,0,1,0,1,1
350.0,0.0,0.0,1.0,1,1,1,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,0,1,0,1,0,0,1
197.0,0.0,0.0,0.0,0,1,1,0,1,0,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,1,0,1,0,1,1,1,0
325.0,1.0,0.0,0.0,1,1,1,0,1,0,1,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,0,1,0,1,1,0,0
195.0,0.0,0.0,1.0,0,1,1,1,0,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0,1,1,1,1
199.0,0.0,0.0,0.0,1,0,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,1,1,1,0,1,1,1,1
205.0,1.0,0.0,1.0,1,0,1,1,1,0,1,0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,1,1,0,1,0,1,1
360.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,0,0,1,0,0,1,0
335.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,0,0,1,1,0,1
149.0,1.0,0.0,0.0,0,0,1,0,1,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1,0,1,0,1,1,1,1
150.0,0.0,0.0,1.0,1,0,0,1,1,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0,1,1,1,1,1,1,1
84.0,1.0,0.0,1.0,0,1,1,0,1,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,1,0,1,1,1,0,0,0
269.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,1,1,0,0,1,1
220.0,0.0,0.0,1.0,0,1,1,1,0,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1,1,0,0,1,1,1,1
224.0,0.0,0.0,1.0,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,0,1,1,1,1
198.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,1
360.0,0.0,0.0,1.0,0,1,1,1,1,0,1,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,1,1,1,0,1,1,1,1
257.0,0.0,0.0,0.0,1,0,1,1,0,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,1,1,0,0,0,1,1,1
275.0,0.0,0.0,1.0,0,0,1,0,1,0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,1,1,1,1
260.0,1.0,0.0,0.0,0,1,1,1,1,0,1,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,1,1,0,1
87.0,0.0,0.0,1.0,0,1,1,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1,1,0,1,1,1,0,1,0
196.0,0.0,0.0,1.0,0,0,1,0,1,1,1,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1,0,1,1,1,1,1,1
147.0,0.0,1.0,1.0,1,1,1,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,0,0,0,0,1,0,0
215.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1
279.0,1.0,0.0,1.0,0,0,1,1,1,0,1,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,1,0,1,1,1,1
288.0,0.0,0.0,1.0,1,1,0,0,0,0,1,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,1,1,0,1
175.0,0.0,0.0,0.0,1,1,0,0,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,1,1,1,1,1,1
207.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,1
166.0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,1,1,1,1
233.0,1.0,0.0,1.0,0,1,1,1,0,1,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,0,1,1,1,1,1
167.0,0.0,0.0,0.0,0,0,1,1,1,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,1,1,1,1,0,1,1
186.0,0.0,0.0,1.0,1,1,0,0,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,1,1,1,1
337.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,1
269.0,0.0,0.0,1.0,1,1,1,1,1,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,0,0,1
138.0,1.0,0.0,0.0,0,1,1,1,1,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,0,1,0,1
348.0,1.0,0.0,0.0,0,1,0,0,0,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,1,1,1
164.0,0.0,0.0,0.0,0,1,1,1,1,1,1,0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,0,1,1
270.0,0.0,0.0,0.0,1,1,1,1,0,1,1,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,0,1,1,1,0,1
360.0,0.0,0.0,1.0,1,1,1,1,1,0,1,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,0,1
262.0,1.0,0.0,0.0,0,1,1,1,1,0,1,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,1,0,1,1,1,0
294.0,1.0,0.0,0.0,1,1,0,1,1,0,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,1,0,0,1,1,0
269.0,1.0,0.0,1.0,1,0,1,0,1,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,1,0,1,0,0,1,1,0
241.0,0.0,0.0,1.0,0,1,1,1,0,1,1,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,1,1,0,1,1,1,0,1
120.0,0.0,0.0,0.0,0,1,1,0,1,0,1,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,1,0,1,0,1,1,0,1
237.0,0.0,0.0,1.0,0,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,1,1,1,0,1,1,1,1
208.0,0.0,0.0,0.0,0,1,1,1,1,1,1,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1,1,1,1,1,0,1,1
226.0,0.0,0.0,1.0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1,1,1,1,1,1,1,1
257.0,0.0,0.0,1.0,1,1,1,0,1,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,0,1,1,0,1,0,0
298.0,1.0,0.0,1.0,1,0,1,1,1,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,1,1,1,0,1,0,1,1
265.0,0.0,0.0,0.0,0,1,1,1,1,0,0,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,1,1,1,0,0,1,1,1
218.0,0.0,0.0,0.0,1,1,1,0,1,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,1,0,0,1,0,1
326.0,0.0,0.0,1.0,0,0,1,1,1,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,0,1,0,1,1
199.0,0.0,0.0,0.0,0,1,1,1,1,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,1,1,1,1,1,0,1,1
342.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,0,0,1,0,1,1
355.0,0.0,0.0,0.0,1,1,1,1,0,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,0,1,1,1,1,1
154.0,0.0,0.0,1.0,0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1,1,1,1,1,1,1,1
221.0,0.0,0.0,0.0,0,1,1,0,0,0,1,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,1,0,0,0,1,1,1,1
164.0,1.0,0.0,1.0,1,1,1,1,0,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,0,0,1,1,1,0
237.0,0.0,0.0,0.0,0,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1,1,1,0,1,1,1,1
240.0,0.0,0.0,1.0,1,1,1,1,1,0,1,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,0,1
123.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,1,1,0,0,1,0,1,0
167.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,1
203.0,1.0,0.0,1.0,0,0,0,1,1,1,1,0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,1,1,1,1,0,1,1
232.0,0.0,0.0,1.0,0,1,1,1,1,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,1,1,1,0,1,1
199.0,0.0,0.0,1.0,0,1,1,1,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,0,1,1,1,0
199.0,0.0,0.0,1.0,0,1,1,1,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,1,1,1,0,1,1,1,0
262.0,0.0,0.0,1.0,0,0,1,1,1,1,1,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,1,1,1,1,1,0,1,0
315.0,0.0,1.0,0.0,1,1,1,0,0,1,1,0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1,0,0,1,1,0,1,1
222.0,0.0,0.0,0.0,1,1,1,1,0,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,0,0,1,1,1,1
212.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,1,0,1,0,0,1
302.0,0.0,0.0,1.0,1,1,1,1,0,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,1,1,1,1
195.0,1.0,0.0,1.0,0,0,1,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1,1,1,1,1,1,0,0
